name,education_level,stream,cgpa,skills,interest,career_domain
S1,Undergraduate,Computer Science,7.0,linux dsa python programming,Development,Software Developer
S2,Postgraduate,Information Technology,7.7,backend oop dsa programming git,Development,Software Developer
S3,Undergraduate,Information Technology,9.3,api git debugging linux python java dsa backend,Development,Software Developer
S4,Postgraduate,Computer Science,7.6,java dsa linux backend api python git,Development,Software Developer
S5,Postgraduate,Information Technology,7.1,django dsa python backend git oop,Development,Software Developer
S6,Undergraduate,Information Technology,8.7,java python git flask,Development,Software Developer
S7,Postgraduate,Mathematics,6.8,git debugging linux flask dsa,Development,Software Developer
S8,Undergraduate,Computer Science,7.5,dsa debugging backend flask linux python api java,Development,Software Developer
S9,Postgraduate,Computer Science,6.6,dsa programming algorithms python api linux,Development,Software Developer
S10,Postgraduate,Computer Science,8.0,django programming algorithms java,Finance,Software Developer
S11,Undergraduate,Information Technology,8.4,api linux backend oop django dsa programming python,Finance,Software Developer
S12,Postgraduate,Arts,7.6,git dsa api oop django linux python debugging,Development,Software Developer
S13,Postgraduate,Information Technology,8.0,oop backend algorithms python git debugging programming,Development,Software Developer
S14,Undergraduate,Psychology,9.1,git algorithms api debugging,Development,Software Developer
S15,Undergraduate,Information Technology,7.5,django api flask python backend algorithms,Development,Software Developer
S16,Postgraduate,Information Technology,6.6,algorithms api django git debugging python,Development,Software Developer
S17,Undergraduate,Computer Science,7.2,java git django dsa debugging oop,Development,Software Developer
S18,Undergraduate,Computer Science,7.1,git algorithms backend flask programming linux oop java,Development,Software Developer
S19,Postgraduate,Computer Science,6.7,python api debugging django algorithms git,Development,Software Developer
S20,Postgraduate,Computer Science,8.4,oop flask backend dsa,Development,Software Developer
S21,Postgraduate,Mathematics,9.4,debugging oop algorithms python flask,Development,Software Developer
S22,Postgraduate,Arts,7.9,debugging backend dsa algorithms flask git programming oop,Security,Software Developer
S23,Postgraduate,Mechanical Engineering,9.5,git linux api programming oop,Cloud,Software Developer
S24,Undergraduate,Psychology,8.4,django programming dsa backend,Development,Software Developer
S25,Undergraduate,Computer Science,7.9,python api programming,Development,Software Developer
S26,Postgraduate,Computer Science,9.0,python dsa debugging backend linux java flask algorithms,Development,Software Developer
S27,Postgraduate,Psychology,6.5,django debugging linux oop,Development,Software Developer
S28,Undergraduate,Computer Science,8.9,java api flask backend oop,Development,Software Developer
